,node,minority,indegree,outdegree,pagerank,wtf
0,993,0,12,159,0.0002580880666918362,7
1,859,0,6,1,0.004022866489843684,29
2,298,0,18,22,0.0004194109736513156,32
3,553,0,7,3,0.00029814250965224856,2
4,672,0,38,21,0.0010098296685305777,14
5,971,0,5,1,0.0011994868020663396,1
6,27,0,11,1,0.0021457374250142334,7
7,231,0,12,1,0.002021714227876557,3
8,306,0,9,1,0.000260418492373381,2
9,706,0,4,1,0.004871116858472295,25
10,496,0,9,2,0.00025239786748326774,6
11,558,0,8,1,0.0015741934585390065,4
12,784,0,8,1,0.0015585473865300863,0
13,239,0,9,1,0.001832494190786713,3
14,578,0,66,1,0.005126864733967688,100
15,55,0,14,1,0.001421682699652178,3
16,906,0,22,15,0.0005635274607615295,13
17,175,0,5,27,0.0002648889599696075,4
18,14,0,4,19,0.0005981726293203223,0
19,77,0,9,1,0.0018566007050023685,6
20,31,0,14,3,0.0003145182754668726,9
21,481,0,4,1,0.0015282145213458818,2
22,310,0,10,1,0.00026153928105524795,23
23,311,0,6,1,0.00025440541488561103,2
24,883,0,11,2,0.0005561496485556584,3
25,788,0,17,1,0.000691928016399248,4
26,45,0,3,3,0.0003808965958003551,0
27,103,0,11,1,0.0013565489181733296,3
28,760,0,10,1,0.0014136179491820687,1
29,1,0,7,18,0.00022240315055602086,5
30,823,0,12,3,0.0007008735872556213,4
31,710,0,2,1,0.0014731111230582865,2
32,614,0,4,28,0.00017561072208143832,0
33,790,0,51,1,0.0009477330103080856,24
34,408,0,4,1,0.00021402463698881748,0
35,736,0,9,1,0.0013979814487920918,4
36,957,0,8,1,0.002197831554330171,3
37,366,0,11,1,0.0016043281967389903,6
38,918,0,9,1,0.0016898592628800141,5
39,267,0,13,1,0.00125535551963339,0
40,230,0,4,1,0.001998981415555615,1
41,996,0,10,1,0.0014081675223874984,4
42,635,0,6,14,0.00019799003808058054,1
43,698,0,2,1,0.0002792918936279745,0
