,node,minority,indegree,outdegree,pagerank,wtf
0,993,0,9,166,0.00018882572278383424,1
1,859,0,9,1,0.0004318574614984584,3
2,298,0,7,21,0.0003191050030354845,1
3,553,0,4,1,0.002026508003470655,1
4,672,0,53,23,0.0008366304403277236,150
5,971,0,5,4,0.00023193667509003232,6
6,27,0,3,1,0.0001687950809774919,0
7,231,0,10,1,0.0014411543546517652,3
8,306,0,8,1,0.003061651566913739,23
9,706,0,4,1,0.002210331382635198,1
10,496,0,17,2,0.0010145142845474622,5
11,558,0,4,1,0.001251207602387149,2
12,784,0,17,1,0.0003961909304661539,11
13,239,0,12,1,0.0020773159181820618,8
14,578,0,5,1,0.0016625160092265051,5
15,55,0,8,1,0.00020948787154911837,3
16,906,0,1,16,0.00031825161046264633,0
17,175,0,5,33,0.0001703035784554786,0
18,14,0,2,23,0.00019780793357354213,0
19,77,0,6,1,0.00019160729603634566,1
20,31,0,17,5,0.0004804501029103429,22
21,481,0,2,1,0.001139958221815114,1
22,310,0,8,1,0.0015259726112193898,3
23,311,0,2,1,0.0014278824512721374,4
24,883,0,8,1,0.0013676463732869707,2
25,788,0,8,1,0.0005048048296051708,3
26,45,0,4,3,0.0002637777754853422,0
27,103,0,2,1,0.0011302532077248537,2
28,760,0,3,1,0.0016363366860353465,0
29,1,0,8,12,0.00034820958848347743,4
30,823,0,13,9,0.00022805209487497028,4
31,710,0,6,1,0.0016820511157307541,2
32,614,0,27,28,0.0005167430983245653,115
33,790,0,10,1,0.001918764832279112,6
34,408,0,2,2,0.00015823292025332394,0
35,736,0,6,1,0.0011960538820159092,1
36,957,0,2,1,0.00018307689288475182,2
37,366,0,1,1,0.0011209534649560832,1
38,918,0,4,1,0.001337509732994639,4
39,267,0,16,1,0.0017493281515790046,4
40,230,0,3,1,0.000174876141135415,1
41,996,0,15,1,0.0012392041561056458,1
42,635,0,32,10,0.0004153561514464966,5
43,698,0,5,1,0.00017620613749258452,1
44,251,0,5,1,0.00023689260796021548,1
45,783,0,3,1,0.00187086071043089,4
46,819,0,6,10,0.00037104080906797895,5
47,141,0,7,1,0.00027966190301695977,4
48,316,0,2,3,0.00015259554378303975,0
49,587,0,14,1,0.001534234379230034,3
50,331,0,4,7,0.00019796825847945225,0
51,295,0,20,95,0.0003785602122140204,5
52,262,0,4,1,0.0012632895957978311,75
53,432,0,4,1,0.00041035032279443856,1
54,862,0,25,18,0.0003011803611223451,7
55,582,0,16,7,0.0003095315587241332,10
56,272,0,10,1,0.0026208502761237112,28
57,270,0,8,2,0.0008011928150840744,3
58,987,0,1,53,0.00035536758521443744,0
59,319,0,9,18,0.00019497632130441057,0
60,569,0,2,1,0.0001594360540448426,0
61,643,0,1,1,0.0011646616068471684,1
62,142,0,1,1,0.0012709744333797017,0
63,202,0,12,83,0.00026676573650523063,27
64,413,0,3,1,0.0013386407169621265,1
65,196,0,5,1,0.001755427244875435,1
66,264,0,12,1,0.00022824887131119527,3
67,531,0,4,3,0.0004935825147978521,3
68,252,0,2,1,0.00021392583611605658,1
69,576,0,11,14,0.00021804262034383332,5
70,738,0,1,27,0.00015096687870100222,0
71,299,0,2,1,0.0013877332110644436,0
72,740,0,14,33,0.0004893033484005127,3
73,247,0,5,1,0.002143521729939481,2
74,926,0,5,20,0.0003167798247627001,1
75,412,0,9,1,0.0017006871494528943,6
76,389,0,2,1,0.0015222390573411144,3
77,796,0,4,12,0.0004700080987674235,0
78,601,0,19,26,0.00031220273524094466,4
79,654,0,14,13,0.0003402265738811273,1
80,261,0,10,1,0.0017551572311113,5
81,456,0,52,1,0.0025187989254109515,11
82,386,0,3,1,0.002136009361094682,6
83,982,0,1,1,0.001044494877439124,1
84,909,0,4,1,0.0002971438181130001,1
85,693,0,3,73,0.00017291640773896925,0
86,236,0,7,1,0.0016624792703911627,8
87,501,0,8,1,0.0013297580164920132,2
88,497,0,5,17,0.00023128483635800602,0
89,874,0,15,71,0.00027080788976177844,3
90,452,0,2,5,0.00023222662475021424,2
91,494,0,8,1,0.0012162948822656396,3
92,923,0,6,1,0.0024626805791962856,3
93,279,0,8,1,0.002992826863232796,16
94,638,0,19,32,0.0003002559526655875,1
95,485,0,2,1,0.0012800283838326845,3
96,568,0,4,1,0.001515165791792455,3
97,108,0,21,50,0.0002972315537053163,5
98,367,0,6,9,0.00019469605340503306,2
99,644,0,9,1,0.00025640905626423327,4
100,785,0,16,1,0.0023141617275436984,2
101,873,0,10,30,0.0002571987825107327,1
102,65,0,15,1,0.0013241491538030455,5
103,902,0,5,1,0.001299185973588806,2
104,317,0,41,1,0.0008073500345821183,21
105,636,0,15,1,0.0014408463566033787,3
106,666,0,9,28,0.0007581679600298093,0
107,789,0,2,12,0.000154445750533208,1
108,958,0,21,20,0.0003707158013227077,14
109,214,0,3,1,0.002288118733397867,6
110,97,0,32,1,0.002319385700012107,12
111,583,0,14,1,0.0019054429180509363,5
112,466,0,32,1,0.002630566498442373,214
113,523,0,17,4,0.000283106743820159,2
114,255,0,4,3,0.00020340629891571642,0
115,385,0,25,4,0.0007651252408137896,10
116,545,0,2,1,0.0032555777125754717,56
117,382,0,20,1,0.001610445777245733,0
118,489,0,4,3,0.00020749920144116004,1
119,513,0,10,1,0.0011135413900493156,0
120,780,0,15,1,0.0012784832091471347,2
121,904,0,6,1,0.0024460909714971,14
122,122,0,13,1,0.001502327288210049,0
123,946,0,5,15,0.00019933846370794842,0
124,60,0,7,14,0.0002953431633496929,7
125,844,0,9,1,0.002266361247359518,3
126,372,0,4,1,0.0015286123039865607,3
