,node,minority,indegree,outdegree,pagerank,wtf
0,993,0,22,141,0.0006258587191173533,4
1,859,0,2,1,0.0010766376051554198,8
2,298,0,9,24,0.00023495148907621896,8
3,553,0,4,3,0.00023695265412295601,0
4,672,0,40,18,0.0014762468365337317,39
5,971,0,5,1,0.00019519194681041346,0
6,27,0,5,1,0.00018687394293022825,1
7,231,0,12,1,0.0002845150700354102,6
8,306,0,17,1,0.00035202923600504305,138
9,706,0,5,1,0.00021532215121297475,4
10,496,0,57,2,0.0012693543685132545,131
11,558,0,16,1,0.0018885042582776398,6
12,784,0,18,1,0.0003885429993557006,29
13,239,0,5,1,0.0007818346391872227,3
14,578,0,43,1,0.0010678810572647207,146
15,55,0,11,1,0.0021508617114897764,7
16,906,0,3,20,0.00018644520844139685,2
17,175,0,1,23,0.0006024683530198149,0
18,14,0,8,21,0.00039339741864055747,0
19,77,0,8,1,0.002498943662483781,7
20,31,0,37,3,0.0012544620428016275,11
21,481,0,5,1,0.00019389311359458116,5
22,310,0,9,1,0.0012799510138428447,4
23,311,0,2,1,0.0011947529237820332,2
24,883,0,25,1,0.0021640233954489142,4
25,788,0,11,1,0.0014768541504575868,4
26,45,0,5,3,0.0008823393149614992,0
27,103,0,4,2,0.0004967810036520526,2
28,760,0,13,1,0.0025590733548564322,8
29,1,0,4,9,0.0002073590072050118,2
30,823,0,4,11,0.00017931358963195392,1
31,710,0,5,1,0.00020272156683333418,1
32,614,0,34,25,0.0007336722101032263,14
33,790,0,33,1,0.0005415233417672344,15
34,408,0,6,1,0.00024348441694403055,2
35,736,0,5,1,0.0015499534867731387,3
36,957,0,2,1,0.0010632786051364932,1
37,366,0,4,1,0.002319898923260034,7
38,918,0,23,1,0.0018964156034906882,6
39,267,0,2,1,0.0014640523357768015,3
40,230,0,1,1,0.0014569333862889584,0
41,996,0,17,1,0.0003151710447650184,8
42,635,0,1,11,0.0001502474095935482,0
43,698,0,3,1,0.00017681077603279438,1
44,251,0,8,1,0.00023601932649513306,3
45,783,0,9,1,0.0012670179079239804,0
46,819,0,13,14,0.000312432013683996,3
47,141,0,7,1,0.00042331794375998416,0
48,316,0,11,1,0.0034766513014165066,23
49,587,0,31,1,0.002671735316202315,8
50,331,0,6,3,0.0012183120598942428,8
51,295,0,23,89,0.0004287227210377804,5
52,262,0,3,1,0.001174580060641301,1
53,432,0,5,1,0.0014205065395226754,2
54,862,0,85,11,0.0014826646874353281,66
55,582,0,9,11,0.000397817277483382,1
56,272,0,9,1,0.0014037009603521313,3
57,270,0,2,2,0.00018148097871281682,0
58,987,0,11,63,0.00022467066591485419,3
59,319,0,8,15,0.00020957047974933465,1
60,569,0,2,1,0.0012356279349944946,1
61,643,0,5,1,0.0013657991736008195,1
62,142,0,3,1,0.0019520339075154878,7
63,202,0,43,81,0.000811852751150937,47
64,413,0,6,1,0.00019662470120242458,2
65,196,0,9,1,0.001837377080577355,3
66,264,0,25,1,0.0005039787074277437,8
67,531,0,2,6,0.0015489765939771898,0
68,252,0,2,1,0.0023824264529826514,12
69,576,0,7,7,0.0005589832028180135,1
70,738,0,12,26,0.0005913585917413978,2
71,299,0,6,1,0.0015103395785441172,44
72,740,0,17,32,0.0008686320350922499,5
73,247,0,7,1,0.0018003423880175195,5
74,926,0,6,17,0.0001864461636555399,1
75,412,0,10,1,0.00022967538975999087,1
76,389,0,9,1,0.0014094594667805244,0
77,796,0,3,13,0.0001796902293011268,1
78,601,0,55,15,0.0011932347552124991,54
79,654,0,7,11,0.0003654231273727444,48
80,261,0,6,3,0.0025601164434423114,2
81,456,0,13,1,0.003565153621526433,6
82,386,0,22,1,0.003040902947288197,5
83,982,0,5,1,0.0001971007053612957,1
84,909,0,43,1,0.0017633813506949215,20
85,693,0,14,74,0.00026832161631150766,3
86,236,0,3,1,0.0010380678462789555,1
87,501,0,3,1,0.0017473981538705834,0
88,497,0,7,22,0.00038847610049614153,2
89,874,0,11,61,0.0005024984627367749,4
90,452,0,5,8,0.00026008122840720613,7
91,494,0,2,1,0.0019265767611731095,4
92,923,0,9,1,0.0012157297802303426,1
93,279,0,7,1,0.0012199893494873211,2
94,638,0,10,25,0.0008187380090029463,3
95,485,0,3,1,0.00016750553239471244,1
96,568,0,6,1,0.0001952936897729074,0
97,108,0,5,39,0.0006260546559875242,2
98,367,0,10,12,0.00024176110611070513,2
99,644,0,28,1,0.0006340611653689408,13
100,785,0,12,1,0.0015952459044688875,6
101,873,0,4,22,0.0006952257186674803,0
102,65,0,7,14,0.0001934514224719248,1
103,902,0,2,1,0.0019017601999217393,4
104,317,0,36,1,0.0008074915136383971,11
105,636,0,4,4,0.00021209618789395872,2
106,666,0,16,28,0.00026763308071166275,5
107,789,0,21,15,0.00042180883891964585,2
108,958,0,12,12,0.000216086420098439,1
109,214,0,29,1,0.0022257028941070236,4
110,97,0,30,1,0.0031603940082678343,7
111,583,0,15,1,0.002921297179019356,1
112,466,0,40,1,0.00069674011134494,21
113,523,0,7,2,0.0006461131924697445,6
114,255,0,8,1,0.0002095646586594981,0
115,385,0,13,7,0.0002600749276083367,3
116,545,0,3,1,0.0011698991883658538,2
117,382,0,15,1,0.0006735435730712444,20
118,489,0,3,1,0.0003747248230253442,0
119,513,0,1,1,0.0010217272723437832,0
120,780,0,7,1,0.00022750488789021581,0
121,904,0,34,1,0.0023788336086464604,23
122,122,0,3,1,0.00017469231938175607,1
123,946,0,45,10,0.0010471881310069537,26
124,60,0,5,14,0.0002207309024414248,2
125,844,0,80,1,0.005654993805875323,120
126,372,0,4,1,0.0013659936671985653,1
127,283,0,9,1,0.0015156098933011846,4
128,939,0,6,1,0.001214383793691274,3
129,608,0,3,1,0.0038665383095003334,9
130,495,0,3,1,0.00022154127823043024,1
131,630,0,7,1,0.0021751201188159952,3
132,596,0,5,11,0.0004910155764573298,1
133,713,0,3,1,0.0014051113722839733,1
134,753,0,15,1,0.00027196555871676647,13
135,624,0,14,13,0.0003810409153415134,7
136,312,0,28,8,0.0006226482036746494,30
137,8,0,4,17,0.00016581076363356042,0
138,529,0,24,1,0.0006340935969670598,16
139,876,0,4,3,0.0004493739926111496,1
140,101,0,28,1,0.0047515150417127925,9
141,615,0,3,1,0.0021977174369635583,7
142,520,0,2,1,0.0011181665156856369,0
143,249,0,9,12,0.0004059348411017149,2
144,278,0,7,1,0.00018342092719509325,1
145,424,0,12,1,0.002387954002411174,3
146,384,0,22,7,0.00036936760205302663,9
147,395,0,8,18,0.00022447854546975526,2
148,54,0,22,1,0.0026491068191100576,6
149,34,0,1,1,0.0010422855952677223,0
150,271,0,4,21,0.00033382047266168423,0
151,30,0,24,1,0.0015006756178066224,12
152,403,0,19,1,0.000592299911853642,16
153,757,0,14,4,0.0002675597424002168,2
154,975,0,2,2,0.00020676616798128054,1
155,990,0,13,69,0.0003545799419977412,21
156,457,0,46,11,0.0008604520964976786,64
157,362,0,2,1,0.0013739459390465611,1
158,860,0,2,20,0.0001771780608372741,0
159,483,0,11,1,0.0020358996136776207,3
160,580,0,13,28,0.00039012542827189994,5
161,986,0,2,9,0.00033327123817181143,0
162,688,0,32,3,0.0011514987046308783,61
163,864,0,33,1,0.004332487115006843,19
164,927,0,10,1,0.0015375369192362882,1
165,378,0,1,1,0.0014562038705491455,0
166,320,0,20,1,0.0021431212995585793,8
167,942,0,8,8,0.0006333277577749424,3
168,351,0,7,1,0.0019868818677038513,1
169,418,0,4,1,0.001748532955506521,23
170,945,0,7,1,0.00032118560620446974,0
171,795,0,5,1,0.0019034391609814866,7
172,145,0,5,1,0.0017991880754893517,46
173,826,0,4,1,0.0014209692182708276,2
174,492,0,3,12,0.00016540628379671358,0
175,751,0,3,1,0.0001874382555136515,2
176,240,0,35,13,0.0005176562516320388,40
177,648,0,7,1,0.0002036217965313042,1
178,886,0,1,22,0.00015601217386671472,0
179,144,0,6,1,0.0013902766541503036,1
180,767,0,6,8,0.0001998144082312303,1
181,999,0,7,1,0.0012623487228659645,0
182,467,0,7,5,0.00032182904120351986,4
183,315,0,25,87,0.0011811998513475536,6
184,989,0,6,1,0.0006155432232031593,5
185,922,0,10,1,0.001564112596304734,3
186,717,0,18,1,0.001900301905943057,9
187,458,0,7,3,0.00021949524815758047,1
188,773,0,18,1,0.0004175018719049362,24
189,204,0,2,10,0.0006255399982718815,0
190,834,0,4,9,0.0006751696950410162,3
191,832,0,3,47,0.00037852396707168214,0
192,435,0,1,27,0.00018449342393168718,0
193,5,0,33,235,0.0004598539398315874,16
194,769,0,4,1,0.0019153145650714527,3
195,679,0,34,1,0.0037187482534625648,14
196,722,0,23,1,0.0005372955020168542,9
197,215,0,11,1,0.0011270606142023943,5
198,653,0,25,1,0.00039295849560722274,3
199,150,0,66,1,0.0015910262778254813,61
200,687,0,4,1,0.0011713254880414913,1
201,500,0,23,39,0.0005061338190154036,10
202,332,0,13,6,0.0002717274463844701,2
203,979,0,11,1,0.0015927617445628019,4
204,817,0,6,23,0.00034475984400641053,0
205,620,0,6,10,0.00017475696799760404,0
206,814,0,1,1,0.001838729298227416,5
207,516,0,2,1,0.001193814661762458,16
208,518,0,4,1,0.00020808801134006405,0
209,940,0,15,1,0.0015411809856741925,1
210,113,0,25,9,0.0006301768342045467,10
211,612,0,1,39,0.0001502474095935482,0
212,37,0,36,14,0.0007563711619473804,17
213,894,0,21,14,0.0004741599332212615,9
214,895,0,1,1,0.0015795203305171398,4
215,992,0,28,9,0.001065311171329636,7
216,158,0,19,1,0.00041792205997703754,6
217,154,0,3,1,0.0011237053937592331,0
218,40,0,10,1,0.0014512074980537247,0
219,585,0,2,7,0.00018767697826364507,1
220,805,0,4,1,0.0001868617143884635,0
221,592,0,80,1,0.0042072881408938305,44
222,964,0,8,107,0.0017377996250030703,22
223,266,0,1,1,0.0010000000000000002,0
224,406,0,1,39,0.0003267632397346059,0
225,294,0,2,1,0.0013688827770550701,3
226,604,0,5,1,0.00018271031360118017,0
227,522,0,14,1,0.0023782128183336085,1
228,18,0,22,1,0.0004568350368687284,4
229,425,0,4,1,0.0016182321717373373,2
230,527,0,6,2,0.00021919105948594252,1
231,308,0,4,1,0.00018889204262673178,2
232,622,0,21,51,0.00042315789445752385,7
233,794,0,26,9,0.0005238998679615201,15
234,62,0,4,1,0.00021915160451329798,0
235,79,0,7,1,0.001320893303012742,0
236,680,0,8,1,0.000843789186125033,4
237,193,0,31,6,0.0014617395684560779,5
238,750,0,8,1,0.006402228008655493,9
239,181,0,17,14,0.0003559281285020679,1
240,535,0,4,1,0.002970411717816769,10
241,484,0,25,43,0.0005427776415927165,10
242,200,0,12,136,0.00029250978156734084,0
243,364,0,7,1,0.00018919600361041647,0
244,991,0,60,1,0.004662342682116234,26
245,462,0,16,15,0.00032688683728460837,3
246,356,0,27,1,0.0018086716074784586,5
247,2,0,7,1,0.0014360603429055341,0
248,478,0,5,13,0.00020410744336427528,2
249,695,0,2,74,0.0003584664203823081,0
250,253,0,13,1,0.0014792555697509513,2
251,667,0,5,1,0.00024142774060276738,0
252,85,0,16,1,0.0015311350255655626,12
253,969,0,8,14,0.0007014510501049573,2
254,75,0,10,25,0.0003582636086694609,3
255,786,0,6,2,0.00020657102010063197,0
256,658,0,16,75,0.00036144090634378435,152
257,465,0,43,22,0.0008745934621155931,30
258,920,0,12,13,0.00019431898770229904,1
259,38,0,2,1,0.0011305305497220646,2
260,944,0,4,2,0.0005543384588323708,0
261,725,0,5,4,0.0008511138771067059,2
262,436,0,8,15,0.00019595831694400588,2
263,140,0,10,1,0.0013571799045419388,1
264,818,0,2,1,0.0021761467697407146,11
265,602,0,4,1,0.0014751620758004925,6
266,745,0,86,21,0.0021652414197558243,161
267,471,0,11,1,0.001317487868646411,4
268,342,0,9,5,0.00041577576436335577,1
269,416,0,23,1,0.0005577047988852139,13
270,711,0,4,60,0.0001764377513317659,17
271,557,0,2,1,0.0031301343966288896,18
272,50,0,12,1,0.00043659520805749876,1
273,162,0,7,1,0.001804442142329446,4
274,765,0,22,23,0.0004431464568058197,24
275,856,0,3,1,0.00037940120258285264,0
276,867,0,63,78,0.0013398930665011188,35
277,524,0,5,1,0.00021398452587946342,2
278,443,0,9,1,0.0015260757267670923,0
279,172,0,7,8,0.0002371034204598387,1
280,956,0,1,1,0.001269880009462168,2
281,330,0,7,1,0.002702776031244708,0
282,352,0,5,23,0.00021567025582538112,2
283,857,0,33,7,0.0008498738945779154,12
284,766,0,20,1,0.0014294817380718326,4
285,39,0,27,1,0.00243516974822791,31
286,852,0,22,1,0.003113377263750235,6
287,875,0,44,1,0.0009323331954157878,20
288,156,0,25,1,0.002506994921576588,5
