,node,minority,indegree,outdegree,pagerank,wtf
0,993,0,9,168,0.00046106109657621965,7
1,859,0,6,1,0.00031169760908793145,1
2,298,0,12,29,0.00029657536351802746,9
3,553,0,10,2,0.0008546585043778417,5
4,672,0,29,24,0.0003745575903932358,7
5,971,0,3,1,0.0001585578775747362,0
6,27,0,3,1,0.00016151293773128644,2
7,231,0,3,1,0.0011679067848621707,1
8,306,0,16,1,0.0031125883872537073,3
9,706,0,3,1,0.0014246115152193332,3
10,496,0,40,2,0.0006339896635226799,33
11,558,0,8,1,0.0013615952618866872,1
12,784,0,1,1,0.0001619426212682346,2
13,239,0,7,1,0.0011434726909154696,0
14,578,0,25,1,0.00396534595489429,10
15,55,0,3,1,0.000211932762440044,0
16,906,0,3,22,0.0009688031094212511,3
17,175,0,6,27,0.0005580668726823851,0
18,14,0,10,19,0.0010659160849718957,0
19,77,0,7,1,0.0013909770632415741,8
20,31,0,5,8,0.000357658971141318,1
21,481,0,4,1,0.00017588978095289177,0
22,310,0,11,1,0.00027196248417911346,3
23,311,0,5,1,0.0004064978501438977,0
24,883,0,14,1,0.002633317682161668,7
25,788,0,4,1,0.0012556117937107722,1
26,45,0,4,3,0.0006021112984371968,2
27,103,0,8,1,0.001472443252672361,2
28,760,0,3,1,0.0025531053858748928,4
29,1,0,1,10,0.0003054198668325284,0
30,823,0,7,13,0.00021653504505083872,2
31,710,0,8,1,0.0002556504306342784,1
32,614,0,4,36,0.0001815781929823649,2
33,790,0,25,1,0.0005392485874560267,7
34,408,0,11,1,0.0014970235896985078,93
35,736,0,5,1,0.0015686181083271243,4
36,957,0,2,1,0.0010873568855052486,0
37,366,0,3,1,0.0012521977858021283,1
38,918,0,5,1,0.0014958149387842405,5
39,267,0,11,1,0.0003597075557529223,0
40,230,0,4,1,0.002965525061034708,5
41,996,0,8,1,0.00024350215390271754,3
42,635,0,35,15,0.0006738410679396735,6
43,698,0,3,1,0.0015381180099727988,3
44,251,0,4,1,0.00019255541214815408,0
45,783,0,19,1,0.0015145373313506026,1
46,819,0,7,19,0.0001803938462774009,3
47,141,0,3,1,0.0010841766701718844,1
48,316,0,3,2,0.00047854750125578987,0
49,587,0,3,1,0.004288079239267991,15
50,331,0,5,7,0.0004065209317057593,1
51,295,0,7,89,0.00032030199187636343,2
52,262,0,16,1,0.0024978675313779178,4
53,432,0,2,1,0.0011607842721231927,1
54,862,0,32,20,0.0009024981367296071,26
55,582,0,2,11,0.00015880725388795383,0
56,272,0,8,1,0.00022166373906960078,1
57,270,0,1,2,0.00015194324449794457,0
58,987,0,16,61,0.00046725985468470726,5
59,319,0,1,16,0.0003050552359892527,21
60,569,0,12,1,0.001410844979852997,3
61,643,0,6,1,0.001837614400613756,6
62,142,0,4,1,0.0010829801412440723,0
63,202,0,9,87,0.00030148246790495295,2
64,413,0,6,1,0.001309994195574826,3
65,196,0,8,1,0.0015922708583591039,0
66,264,0,4,1,0.001253782240416534,0
67,531,0,10,8,0.00032627492816680507,3
68,252,0,4,1,0.001216330459084705,0
69,576,0,1,15,0.00015965295313964808,14
70,738,0,4,25,0.00037053104492484185,0
71,299,0,13,1,0.0013425674210643128,2
72,740,0,9,30,0.0002146571432275176,0
73,247,0,5,1,0.0014870401085995528,1
74,926,0,2,23,0.00016524678235352688,0
75,412,0,7,1,0.0016594630832577483,7
76,389,0,3,1,0.0001968190265312613,0
77,796,0,3,6,0.00037095191698126876,0
78,601,0,4,23,0.00034010547603292233,0
79,654,0,12,18,0.00022959053599384358,13
80,261,0,2,1,0.0011288858708907734,0
81,456,0,13,1,0.0014780986345381158,2
82,386,0,16,1,0.00028936517886820045,3
83,982,0,8,1,0.0002906084367219826,16
84,909,0,40,1,0.0022224654603128207,7
85,693,0,2,79,0.00016206836479174805,0
86,236,0,5,1,0.002054553682736154,14
87,501,0,3,2,0.0003832154038596041,1
88,497,0,4,18,0.00045722925581288327,1
89,874,0,0,73,0.00015000000000000007,0
90,452,0,9,4,0.0004612908923477293,1
91,494,0,8,1,0.0014522419169793544,1
92,923,0,4,1,0.0003314071864973601,0
93,279,0,8,1,0.001353574850507013,4
94,638,0,11,36,0.00019131760616381257,12
95,485,0,13,2,0.00036074351521178004,1
96,568,0,8,1,0.00022002023156108354,2
97,108,0,3,53,0.00018082892348734067,1
98,367,0,6,15,0.0002111891488934614,3
99,644,0,5,1,0.00017182928940830607,0
100,785,0,4,1,0.00047835502662529905,2
101,873,0,19,31,0.0003180421979605741,10
102,65,0,8,6,0.00018230863979193544,0
103,902,0,18,1,0.0017270992834103537,3
104,317,0,13,1,0.001490795710653392,1
105,636,0,6,1,0.0016089102400405183,0
106,666,0,15,31,0.00043555442272195835,3
107,789,0,9,10,0.0004263484104614223,0
108,958,0,14,18,0.0006004488400356783,7
109,214,0,11,1,0.0017025406973846728,1
110,97,0,10,1,0.0017830835184361718,2
111,583,0,2,3,0.00016741585115620636,0
112,466,0,48,1,0.0036243554200399643,36
113,523,0,1,2,0.00016912692324061272,0
114,255,0,4,1,0.0010994309075486883,0
115,385,0,6,7,0.00018131719272698372,0
116,545,0,6,1,0.003169199720586816,17
117,382,0,18,1,0.0025271726607140137,9
118,489,0,1,1,0.00015766508888291454,0
119,513,0,5,1,0.0016155577230081838,3
120,780,0,5,1,0.0011060193680233268,0
121,904,0,41,1,0.0023909697975592007,21
122,122,0,1,1,0.0005109647239184142,0
123,946,0,20,20,0.00038351649741014853,5
124,60,0,12,17,0.0002568066763181036,1
125,844,0,21,1,0.0018664376026615967,2
126,372,0,5,1,0.001497400709580706,3
127,283,0,8,7,0.00018887616997128977,1
128,939,0,3,1,0.0002553345507120619,7
129,608,0,4,1,0.0010586196988410978,0
130,495,0,9,1,0.00029590211176098476,11
131,630,0,1,1,0.0010000000000000009,0
132,596,0,4,23,0.00016849991744413505,0
133,713,0,1,1,0.0010276486029109763,0
134,753,0,9,1,0.0012340576788161606,0
135,624,0,14,17,0.00025669631607433294,5
136,312,0,19,13,0.0003292188712373457,51
137,8,0,2,18,0.00018177560529178348,2
138,529,0,10,1,0.001491300792321413,5
139,876,0,11,1,0.0023011114337998136,2
140,101,0,34,1,0.0005839904500857322,40
141,615,0,2,1,0.0010446545829377722,0
142,520,0,2,1,0.00177268941248868,8
143,249,0,4,28,0.0001601683568993858,0
144,278,0,5,1,0.00022479107040683348,0
145,424,0,33,1,0.0026641327751100014,10
146,384,0,15,8,0.0002595350106329603,10
147,395,0,9,13,0.0002768198906456562,2
148,54,0,3,1,0.0002752529841267848,0
149,34,0,3,1,0.0011702070521417017,1
150,271,0,9,29,0.00021041349247460947,2
151,30,0,2,1,0.00026351278311354556,0
152,403,0,15,1,0.00025365452522898587,2
153,757,0,3,2,0.0009911877781410784,2
154,975,0,16,1,0.0013679944136853392,2
155,990,0,3,74,0.0006939243476994309,0
156,457,0,25,7,0.0005634130195257067,121
157,362,0,5,1,0.0003633074713294186,4
158,860,0,8,17,0.00036163961303087067,2
159,483,0,2,2,0.00020133600189275067,1
160,580,0,6,38,0.00020048214327015156,1
161,986,0,9,12,0.000270027151630707,4
162,688,0,3,1,0.0011063780225045426,0
163,864,0,30,1,0.0004172359757534253,10
164,927,0,20,1,0.001985440003395237,5
165,378,0,3,2,0.0001633762071222167,0
166,320,0,17,1,0.0018006117656509432,21
167,942,0,2,9,0.0004099897674047877,0
168,351,0,11,1,0.0014792473317139668,2
169,418,0,11,1,0.0027876898998927947,4
170,945,0,1,1,0.0015971526675688035,1
171,795,0,10,1,0.0022841019699423428,2
172,145,0,6,1,0.0011658591632803918,0
173,826,0,3,1,0.000217069488815548,1
174,492,0,5,7,0.00043978910561835065,0
175,751,0,3,1,0.0018494873486409134,1
176,240,0,4,11,0.00024124133637954453,1
177,648,0,5,1,0.001121067777538377,1
178,886,0,3,26,0.00016605374079660387,1
179,144,0,7,1,0.00038420882112101003,2
180,767,0,27,11,0.0006792972417402222,7
