,node,minority,indegree,outdegree,pagerank,wtf
0,993,0,18,160,0.00041212744704986065,7
1,859,0,2,1,0.0010583268944024517,0
2,298,0,11,21,0.001089620472507271,3
3,553,0,3,1,0.0010704733213944167,0
4,672,0,33,23,0.0004515339821991129,7
5,971,0,4,2,0.00017835020267378587,2
6,27,0,7,1,0.001657451742021309,3
7,231,0,9,1,0.0019477925838587143,0
8,306,0,15,1,0.00030053804541503506,4
9,706,0,6,1,0.0003478507848080697,0
10,496,0,60,1,0.0042376312601389,112
11,558,0,24,1,0.002048891304924024,5
12,784,0,10,1,0.0005118906591350633,4
13,239,0,10,1,0.00032550839145881845,6
14,578,0,46,1,0.001314825767415557,29
15,55,0,11,1,0.0003947312017509061,0
16,906,0,2,21,0.00016283828712550878,0
17,175,0,4,25,0.0012139738128811469,0
18,14,0,9,26,0.00028142010640172017,5
19,77,0,6,1,0.0010482442099571472,0
20,31,0,34,6,0.000669445153107607,19
21,481,0,4,1,0.0017229233340080579,2
22,310,0,10,1,0.0005605954406159825,1
23,311,0,4,1,0.001949854576939758,1
24,883,0,21,1,0.00048287216532492803,12
25,788,0,13,1,0.0004233534867593652,7
26,45,0,5,1,0.0017742825346799755,2
27,103,0,2,2,0.00015572350582156164,0
28,760,0,6,1,0.0004602327786365484,2
29,1,0,12,10,0.00028763663510644397,5
30,823,0,17,10,0.00029531353885053386,3
31,710,0,11,1,0.0008124155986013419,0
32,614,0,25,27,0.0004605833655890829,6
33,790,0,10,1,0.00118624143238993,1
34,408,0,2,1,0.00021533201201688653,0
35,736,0,5,1,0.0017808365229765402,2
36,957,0,2,1,0.00015969963457147744,0
37,366,0,4,1,0.0013423391814883579,7
38,918,0,22,1,0.0016152207525579488,15
39,267,0,11,1,0.001814187837351446,2
40,230,0,5,1,0.003707892115717091,26
41,996,0,4,1,0.0019002656449441794,3
42,635,0,2,15,0.0001662467979927053,0
43,698,0,3,1,0.0015556729766855824,2
44,251,0,7,1,0.00022321744013902023,2
45,783,0,17,1,0.0019479001727239708,7
46,819,0,6,9,0.0003826173145452931,4
47,141,0,20,1,0.0004169247662869849,4
48,316,0,2,2,0.0005123656132158622,0
49,587,0,35,1,0.0023328646020814043,11
50,331,0,11,2,0.0007021343746104953,3
51,295,0,15,89,0.0002697736751521783,5
52,262,0,16,1,0.0027152257013276153,9
53,432,0,2,1,0.001175892397281035,1
54,862,0,68,12,0.0020677699702666293,51
55,582,0,6,14,0.00018247560107351833,1
56,272,0,1,1,0.0023217665731400986,4
57,270,0,8,1,0.0014655644359278716,10
58,987,0,5,55,0.000859525024872065,0
59,319,0,10,10,0.0006357058591492269,1
60,569,0,5,1,0.0002124379848152216,3
61,643,0,13,1,0.0014044751759010048,1
62,142,0,3,1,0.002206682791036286,2
63,202,0,21,80,0.0004084930653020681,6
64,413,0,4,1,0.0010883275453054582,0
65,196,0,5,1,0.0021941008372375176,6
66,264,0,5,1,0.0011768846879506327,1
67,531,0,18,6,0.0006476160133108415,10
68,252,0,1,1,0.001039059179209444,0
69,576,0,12,14,0.00043188006125618924,4
70,738,0,3,22,0.0008806672224071076,0
71,299,0,3,1,0.0001630665315346504,0
72,740,0,18,34,0.0005047160071011029,4
73,247,0,4,1,0.001167255315625787,1
74,926,0,6,18,0.00017059356596900056,0
75,412,0,11,1,0.0007036835185839896,9
76,389,0,11,1,0.00029184641063798635,4
77,796,0,5,11,0.0004102460573951046,0
78,601,0,26,18,0.00044354390728275827,5
79,654,0,40,13,0.0007911849664646973,18
80,261,0,7,1,0.001765954519472553,3
81,456,0,27,1,0.0004233257786564929,9
82,386,0,6,1,0.0016235185304280776,2
83,982,0,9,1,0.00021235783877685173,1
84,909,0,4,1,0.0026435692190877047,10
85,693,0,7,67,0.00044562836294121115,0
86,236,0,6,1,0.0011560486283142522,0
87,501,0,8,1,0.00020493602840806354,1
88,497,0,1,22,0.00019127510965401032,1
89,874,0,26,68,0.0006945138715759348,16
90,452,0,3,8,0.00018503261727574897,1
91,494,0,6,1,0.0001826089827847666,13
92,923,0,7,1,0.0014737478553030299,1
93,279,0,7,1,0.00018445225638684048,2
94,638,0,33,33,0.0006999904919907591,6
95,485,0,13,1,0.002013206189231036,6
96,568,0,16,1,0.0004575852369765144,5
97,108,0,17,44,0.00045801949095191334,10
98,367,0,13,14,0.0002215664122140956,14
99,644,0,19,1,0.0029561199087596874,4
100,785,0,10,1,0.0015162309616417846,3
101,873,0,13,28,0.00026460842560328986,4
102,65,0,2,6,0.0001977027087483125,0
103,902,0,7,1,0.001604850970051716,3
104,317,0,44,1,0.0035938278979764167,11
105,636,0,11,2,0.0002387498986777813,1
106,666,0,7,30,0.00023416050657280881,3
107,789,0,14,8,0.0005780259198758278,7
108,958,0,17,9,0.0002646191304787291,3
109,214,0,24,1,0.002051476789053052,4
110,97,0,23,1,0.0021379074161990866,7
111,583,0,33,1,0.0027565692529566616,7
112,466,0,10,1,0.001363910309845297,3
113,523,0,6,2,0.0006798538119574175,5
114,255,0,10,1,0.00023197270062644138,0
115,385,0,8,5,0.00029474379210936815,4
116,545,0,2,1,0.003950588088222702,12
117,382,0,7,1,0.005864727160954295,31
118,489,0,4,1,0.006189010607264702,8
119,513,0,4,1,0.00021370856439457403,3
120,780,0,14,1,0.0019888425072546196,1
121,904,0,25,1,0.0005782119754160417,13
122,122,0,8,1,0.0017094719619097254,4
123,946,0,15,9,0.000485763410624493,2
124,60,0,10,11,0.0006297971360585172,2
125,844,0,93,1,0.001469112780167646,270
126,372,0,5,1,0.0011444900765725029,124
127,283,0,6,2,0.0002549558991734792,5
128,939,0,5,1,0.00019661897736787204,2
129,608,0,1,3,0.0001526860366864067,0
130,495,0,3,1,0.0018285891382583473,2
131,630,0,11,1,0.0002590954163738598,5
132,596,0,7,12,0.0003450341612170355,1
133,713,0,1,1,0.0016134403907844604,0
134,753,0,14,1,0.0002609585520099101,3
