,node,minority,indegree,outdegree,pagerank,wtf
0,993,0,13,158,0.00029573449809764237,5
1,859,0,10,1,0.0015213054361333223,20
2,298,0,16,25,0.0008195113138824494,7
3,553,0,5,1,0.001607335656665678,2
4,672,0,41,22,0.0007214362529867934,27
5,971,0,4,2,0.0005001290633557282,0
6,27,0,5,1,0.0002515884057414795,2
7,231,0,3,1,0.001127951538545591,0
8,306,0,2,1,0.00021863022029183367,0
9,706,0,4,1,0.004583403224901284,22
10,496,0,77,3,0.0023214754328929254,398
11,558,0,4,1,0.0004638360653519453,0
12,784,0,2,1,0.0010247283181958702,0
13,239,0,22,1,0.0006182455393650128,12
14,578,0,46,1,0.003447606336670849,228
15,55,0,13,1,0.0024165680997628772,9
16,906,0,33,19,0.0006739296700262682,17
17,175,0,2,28,0.0001837965159726093,1
18,14,0,9,20,0.0008183727307533333,4
19,77,0,10,1,0.001591669797433586,3
20,31,0,24,3,0.0006877716354974216,11
21,481,0,3,1,0.0011583648865165052,0
22,310,0,2,1,0.0014504204869098503,1
23,311,0,14,1,0.0018915430379981518,4
24,883,0,3,1,0.0018205341899121574,4
25,788,0,17,1,0.00031945811085340475,2
26,45,0,3,4,0.0001728201760265903,0
27,103,0,6,1,0.005269473402634027,9
28,760,0,13,1,0.0012409081167866463,1
29,1,0,20,9,0.0006092466262701005,3
30,823,0,1,10,0.0001546713824396601,0
31,710,0,17,1,0.002015729398382794,14
32,614,0,32,28,0.000586327917123865,15
33,790,0,16,1,0.00030208053110811526,6
34,408,0,6,1,0.001490896488574463,3
35,736,0,30,1,0.002192603910150244,6
36,957,0,7,1,0.00020477272677964104,0
37,366,0,2,1,0.0014830534598597963,8
38,918,0,1,1,0.0010685322752049366,0
39,267,0,10,1,0.000256249057737265,14
40,230,0,3,1,0.00016431430315702063,1
41,996,0,14,1,0.0017865041013482858,0
42,635,0,5,12,0.0001890082122528179,0
43,698,0,3,1,0.0011511814199133459,1
44,251,0,11,1,0.0003869820367026424,10
45,783,0,6,1,0.001559968839840238,2
46,819,0,12,14,0.0002141978346977262,1
47,141,0,22,1,0.0015860386261837723,7
48,316,0,4,1,0.0001949507442838631,1
49,587,0,13,1,0.0002832316977420086,1
50,331,0,5,2,0.0005718269829334146,0
51,295,0,29,95,0.0005568363867295637,5
52,262,0,3,1,0.0001751996005803454,2
53,432,0,8,1,0.0014059748344603825,2
54,862,0,54,17,0.0013075059720989732,26
55,582,0,2,7,0.00016494156078613993,0
56,272,0,7,1,0.0009620703590683663,0
57,270,0,6,1,0.0002074672497911042,1
58,987,0,21,56,0.00037901453127086183,9
59,319,0,3,18,0.00017366701848874533,0
60,569,0,5,1,0.00023125199644914165,1
61,643,0,11,1,0.0002336059564054932,3
62,142,0,4,1,0.0011474768979570474,0
63,202,0,47,75,0.0009649778529884668,24
64,413,0,6,1,0.00022763122185761917,0
65,196,0,5,1,0.0005253111183673091,1
66,264,0,7,1,0.0013667060349872538,1
67,531,0,15,5,0.0005404483531032136,4
68,252,0,3,1,0.0018407288664057822,3
69,576,0,0,15,0.0001500000000000001,0
70,738,0,3,30,0.0002503048666553804,0
71,299,0,12,1,0.002943691571726434,3
72,740,0,7,32,0.00041264382124909106,14
73,247,0,19,1,0.0004437084770011673,3
74,926,0,12,23,0.00024056063234845082,3
75,412,0,8,1,0.00036835433317303234,2
76,389,0,18,1,0.0004548615253531961,4
77,796,0,5,14,0.00020523383857745629,4
78,601,0,13,23,0.00028267768844561394,9
79,654,0,20,11,0.000625220238460465,9
80,261,0,6,1,0.00032226163651197085,3
81,456,0,12,1,0.00043615439473916216,3
82,386,0,8,1,0.0026840341385700526,5
83,982,0,9,1,0.00019517307754635056,0
