,node,minority,indegree,outdegree,pagerank,wtf
0,993,0,26,145,0.0003940250530817608,10
1,859,0,1,1,0.00016667548771779567,0
2,298,0,7,24,0.00018718404781337488,3
3,553,0,4,2,0.00021250746706107898,0
4,672,0,32,22,0.0005108281754417555,7
5,971,0,4,1,0.0010973959117384008,1
6,27,0,5,1,0.0011681580152297939,1
7,231,0,11,1,0.001465888113579875,4
8,306,0,13,1,0.0016909667261112073,9
9,706,0,6,1,0.0012194587554129482,13
10,496,0,52,2,0.001545971265181393,25
11,558,0,15,1,0.0014410350248877882,3
12,784,0,21,1,0.0005885359470116175,19
13,239,0,9,1,0.0016432941133432712,5
14,578,0,47,1,0.0035874564968071784,157
15,55,0,12,1,0.0026976566362226797,2
16,906,0,3,21,0.0006866494850471671,0
17,175,0,2,22,0.0001602048698773911,0
18,14,0,11,22,0.000864255182523296,1
19,77,0,9,1,0.001992935120196537,7
20,31,0,34,1,0.0032846555525359723,19
21,481,0,1,1,0.001400125852605902,3
22,310,0,8,1,0.003589918194475287,3
23,311,0,2,1,0.0026711564697773876,7
24,883,0,20,1,0.002967494458777819,4
25,788,0,3,1,0.00023603601916789415,0
26,45,0,1,3,0.00036553238199780455,0
27,103,0,4,2,0.00018332793200916115,2
28,760,0,4,1,0.0011287969116745946,0
29,1,0,15,13,0.0005694554436468205,1
30,823,0,3,10,0.0002328190051171611,0
31,710,0,13,1,0.00022925898043080998,0
32,614,0,32,25,0.00060612984140885,7
33,790,0,35,1,0.0006065966367503899,55
34,408,0,1,1,0.001050159332332785,1
35,736,0,10,1,0.00142164039803402,2
36,957,0,6,1,0.002021703242002454,2
37,366,0,1,1,0.003340715801476714,17
38,918,0,23,1,0.0005521550003526833,12
39,267,0,5,1,0.00019754330830750518,3
40,230,0,7,1,0.00024323400553870808,15
41,996,0,5,1,0.00036775910630519495,0
42,635,0,8,10,0.0011799392305746098,2
43,698,0,4,1,0.00025420667297292157,2
44,251,0,5,1,0.00018958732714714757,1
45,783,0,9,1,0.0002814777329605332,1
46,819,0,17,13,0.0007960763245079641,3
47,141,0,23,1,0.002111157497290279,11
48,316,0,3,2,0.00021098802945022146,0
49,587,0,28,1,0.002979467258828533,13
50,331,0,3,2,0.000474050458331249,0
51,295,0,16,77,0.00039918662288689294,5
52,262,0,7,1,0.0018464123657182467,6
53,432,0,3,1,0.0002483061081227765,1
54,862,0,69,20,0.0015521505064582932,45
55,582,0,8,13,0.00022422412158655192,3
56,272,0,4,1,0.00018182775625003248,1
57,270,0,7,2,0.0003428181438864507,0
58,987,0,24,50,0.00042815277637304864,78
59,319,0,11,8,0.0002601547527425157,3
60,569,0,3,1,0.0016498078195314018,7
61,643,0,2,1,0.0010396627094590874,0
62,142,0,6,1,0.0018026013350212668,2
63,202,0,29,78,0.0005553108494916299,26
64,413,0,2,1,0.0001816583344561514,2
65,196,0,7,2,0.00032969911479224524,2
66,264,0,6,1,0.00023321108813584786,2
67,531,0,16,8,0.0003861498758122421,5
68,252,0,5,1,0.0010780565063115005,1
69,576,0,12,16,0.0002508986828072083,1
70,738,0,10,24,0.0005590760274414918,2
71,299,0,8,1,0.00022625509395456035,3
72,740,0,9,32,0.00023662529540589803,110
73,247,0,3,1,0.00019283944985424285,0
74,926,0,3,15,0.0009499571512663456,0
75,412,0,14,1,0.00035803076462934705,5
76,389,0,3,1,0.003458218793928647,10
77,796,0,12,13,0.00023275512574603177,2
78,601,0,54,12,0.0010690178571624808,14
79,654,0,8,9,0.00037687973421961885,1
80,261,0,12,1,0.0005330729526146497,5
81,456,0,46,1,0.00353369312068485,12
82,386,0,12,1,0.002049816990722426,3
83,982,0,13,1,0.0018919779557411939,11
84,909,0,18,1,0.001470762577658686,7
85,693,0,3,66,0.00019981355412909178,3
86,236,0,4,1,0.0020870714331445352,1
87,501,0,2,1,0.0012763137369972942,2
88,497,0,14,20,0.00033795163312011934,3
89,874,0,6,67,0.00020999757374097445,2
90,452,0,8,5,0.0007680069170851931,0
91,494,0,3,1,0.002942595480827629,0
92,923,0,2,1,0.002056701842509135,5
93,279,0,5,1,0.001791325346713503,5
94,638,0,9,33,0.00028965228408580306,3
95,485,0,3,1,0.00018332088249797018,0
96,568,0,4,1,0.0010590176833465447,0
97,108,0,33,42,0.0005872253481100429,17
98,367,0,12,12,0.00019789720182227647,1
99,644,0,35,1,0.0037112454553419817,3
100,785,0,21,1,0.0016657852142292484,9
101,873,0,12,23,0.00022586862497516404,1
102,65,0,12,3,0.0005309827476578033,3
103,902,0,8,1,0.00026421968067068426,2
104,317,0,17,1,0.0014025415789724175,4
105,636,0,5,4,0.0002528121109635282,0
106,666,0,39,35,0.0005738911419441924,28
107,789,0,10,12,0.00039351292831523604,1
108,958,0,26,7,0.000844720082864266,14
109,214,0,16,1,0.00297841297875284,7
110,97,0,13,1,0.00023674470487703415,2
111,583,0,27,1,0.0005402122487273927,10
112,466,0,12,1,0.0012188996437488835,1
113,523,0,6,2,0.0007956418228197479,4
114,255,0,2,1,0.001477360241899662,3
115,385,0,5,8,0.00039667852329971045,0
116,545,0,2,1,0.0014974601784293257,1
117,382,0,20,1,0.0006267843915570011,5
118,489,0,4,1,0.0001733939918118,0
119,513,0,17,1,0.0021820471435376357,5
120,780,0,6,1,0.0020229280609977405,4
121,904,0,43,1,0.0010275694180007606,19
122,122,0,2,1,0.002678978445804412,4
123,946,0,24,9,0.00039265296455242654,8
124,60,0,7,11,0.0004032571934061188,0
125,844,0,97,1,0.006928586059761522,237
126,372,0,8,1,0.002024292203300245,5
127,283,0,5,2,0.000217077604013691,1
128,939,0,3,1,0.0010865425099884955,1
129,608,0,6,1,0.0002638267552752625,0
130,495,0,7,1,0.0019922152218007235,8
131,630,0,7,1,0.0007191153791127122,8
132,596,0,0,19,0.00015,0
133,713,0,2,1,0.002314791184876458,7
134,753,0,24,1,0.00043430071740620604,31
135,624,0,18,15,0.0003243170603599263,9
136,312,0,12,10,0.00044709166153699645,8
137,8,0,6,20,0.0002520607437473211,3
138,529,0,17,1,0.001999298976927497,9
139,876,0,4,1,0.0015370483885845869,6
140,101,0,33,1,0.0008207667978301336,26
141,615,0,6,1,0.001563868012474784,6
142,520,0,8,1,0.00019818357126588228,4
