,node,minority,indegree,outdegree,pagerank,wtf
0,993,0,19,154,0.0004922727182471411,40
1,859,0,7,1,0.0017302364560099794,3
2,298,0,11,23,0.00043537584066157854,5
3,553,0,3,2,0.00021090889789900238,1
4,672,0,52,24,0.0009457160849223433,112
5,971,0,6,2,0.00026887522050072886,0
6,27,0,6,1,0.0013367176628201064,2
7,231,0,3,1,0.0034146744283367813,23
8,306,0,7,3,0.0006840380720705443,7
9,706,0,3,1,0.0011586034571054414,4
10,496,0,2,5,0.0001721625935872039,2
11,558,0,24,1,0.0028495002331854658,9
12,784,0,3,1,0.003274182120429586,4
13,239,0,4,1,0.0002275545251233316,3
14,578,0,18,1,0.002465234944023464,7
15,55,0,20,1,0.0021936287404260724,10
16,906,0,8,20,0.0002572053813796899,0
17,175,0,1,25,0.00016212173842785105,0
18,14,0,10,27,0.0004093645676863038,5
19,77,0,6,1,0.0024203967309664033,7
20,31,0,14,10,0.00029587776456624435,1
21,481,0,9,1,0.0002209570767031676,2
22,310,0,5,1,0.0015982397648363217,4
23,311,0,4,1,0.0026893232335620854,7
24,883,0,15,1,0.00119831135788008,1
25,788,0,7,1,0.001558112618463608,0
26,45,0,3,3,0.0004430714898037009,0
27,103,0,9,2,0.0002560187703043038,8
28,760,0,7,1,0.0022706204962560437,0
29,1,0,16,14,0.00035490539096239964,5
30,823,0,5,16,0.0001866372145041305,1
31,710,0,24,1,0.0022390584794771823,14
32,614,0,14,33,0.0003536864298495529,5
33,790,0,19,1,0.0016430953327538687,3
34,408,0,2,1,0.0012983101644060719,4
35,736,0,5,1,0.00045055759467938373,0
36,957,0,10,1,0.001638808642850195,1
37,366,0,3,1,0.001171331651861838,0
38,918,0,7,1,0.0004527732561771397,10
39,267,0,3,1,0.002797010503332759,10
40,230,0,10,1,0.0026992297345650256,18
41,996,0,13,1,0.0023843783009880643,26
42,635,0,4,11,0.0001899158570940281,0
43,698,0,4,1,0.0002392104748219607,1
44,251,0,9,1,0.0013262149849607562,1
45,783,0,4,1,0.0027253555411144216,3
46,819,0,38,14,0.0009163313994632437,15
47,141,0,7,1,0.0011789322684026427,0
48,316,0,4,2,0.0004715108659381272,2
49,587,0,7,1,0.0015257213399924845,3
50,331,0,3,2,0.0008594829780522061,2
51,295,0,14,91,0.00045983112742073223,5
52,262,0,7,1,0.0006510031853354019,5
53,432,0,5,1,0.00025541921781548467,0
