,node,minority,indegree,outdegree,pagerank,wtf
0,993,0,6,134,0.00033575531600855664,3
1,859,0,2,1,0.0011255435222747034,0
2,298,0,5,23,0.0003722296568662722,4
3,553,0,4,8,0.0004665269059819725,3
4,672,0,8,22,0.0003537457900195915,5
5,971,0,3,2,0.0032082165959054945,6
6,27,0,4,2,0.0002980165613442097,0
7,231,0,3,1,0.0010439341380463311,4
8,306,0,8,1,0.00036876084208584017,3
9,706,0,3,1,0.00022670570908397365,0
10,496,0,10,2,0.0008882055322431115,1
11,558,0,8,1,0.0011051630007693945,0
12,784,0,5,2,0.002040747689812646,0
13,239,0,3,1,0.0026871476951448956,0
14,578,0,7,1,0.0023994193934226645,6
15,55,0,4,1,0.001836954148483963,2
16,906,0,5,16,0.0002075855200981356,1
17,175,0,3,26,0.00016909370851223216,0
18,14,0,2,27,0.0001752529763606928,0
19,77,0,2,1,0.001374402217481239,3
20,31,0,4,6,0.0005440641341033614,0
21,481,0,2,1,0.00018377486904006958,1
22,310,0,3,1,0.0016213772043394603,1
23,311,0,4,2,0.0003694735027727611,7
24,883,0,5,2,0.0007851887894778343,0
25,788,0,3,1,0.00016703454964498986,1
26,45,0,2,3,0.0004011693398876169,0
27,103,0,5,1,0.0021720324282612125,14
28,760,0,3,1,0.00017328727394270096,0
29,1,0,3,13,0.00016151138361275414,0
30,823,0,5,10,0.00019372662102788932,1
31,710,0,8,1,0.000665994775723551,2
32,614,0,4,21,0.0014160386483331215,1
33,790,0,6,1,0.0014316742595623046,1
34,408,0,6,3,0.00021826704151501266,4
35,736,0,3,1,0.0011732159709142637,0
36,957,0,3,1,0.00022967396733962193,1
37,366,0,2,1,0.0023534929125476668,3
38,918,0,10,1,0.00159752614737357,3
39,267,0,4,1,0.0001926003871127921,2
40,230,0,2,2,0.0005577162577685873,0
41,996,0,2,1,0.0012143823528439407,0
42,635,0,1,16,0.00015707415667671695,0
43,698,0,3,1,0.0018444080237721091,0
44,251,0,2,1,0.00016800272598539452,0
45,783,0,3,1,0.000904166020834696,15
46,819,0,7,16,0.0004989240260256713,0
47,141,0,4,1,0.00045248851104396075,1
48,316,0,6,2,0.0008215273822662043,1
49,587,0,4,1,0.002665907992571781,0
50,331,0,3,5,0.0003706684939165266,0
51,295,0,4,80,0.0004599628980789814,0
52,262,0,1,1,0.0010000000000000015,0
53,432,0,3,1,0.0023656737255735435,3
54,862,0,20,16,0.0004180989964127135,5
55,582,0,5,9,0.0006579876018951987,1
56,272,0,4,1,0.001121450141857855,0
57,270,0,3,1,0.0011217266965821108,0
58,987,0,2,48,0.00015615323744128044,0
59,319,0,4,19,0.0003295819073224153,0
60,569,0,5,1,0.0017157199038039166,1
61,643,0,4,1,0.0002602188647040974,0
62,142,0,4,1,0.00018237582241492853,0
63,202,0,3,73,0.00015835434189333052,1
64,413,0,3,1,0.0002298476496623437,6
65,196,0,6,1,0.00026130008813616114,3
66,264,0,5,1,0.00172480353059512,4
67,531,0,4,7,0.00018974402148211773,0
68,252,0,3,1,0.001450917227555487,5
69,576,0,2,16,0.00017018409527596348,0
70,738,0,2,28,0.0001834564914266698,0
71,299,0,3,1,0.002417827464785785,50
72,740,0,3,29,0.00018850573064305322,0
73,247,0,6,1,0.000248616955624522,9
74,926,0,2,15,0.00015436758533061328,0
75,412,0,7,1,0.001595744921905988,3
76,389,0,1,1,0.0012469756241641566,3
77,796,0,5,10,0.0005651563440865122,0
78,601,0,7,25,0.00022445224055709064,2
79,654,0,4,13,0.0003199709217834033,0
80,261,0,4,1,0.0018789095149368625,0
81,456,0,2,1,0.001092046140329934,2
82,386,0,1,1,0.001040835805486462,1
83,982,0,2,1,0.0020719217084464838,0
84,909,0,3,1,0.0015141918770399223,4
85,693,0,6,65,0.00022716555649168795,1
86,236,0,3,1,0.0014374433161238672,0
87,501,0,2,1,0.0016137815509069209,3
88,497,0,3,14,0.00029744979052273254,4
89,874,0,4,65,0.0007485666347003464,4
90,452,0,1,6,0.0003467799231808439,0
91,494,0,4,1,0.0014508162796782016,1
92,923,0,8,1,0.0006658943693077196,0
93,279,0,2,2,0.00015707219998630347,0
94,638,0,22,33,0.00053242345529243,7
95,485,0,5,1,0.0038336590077876083,12
96,568,0,3,1,0.00017404185508573485,0
97,108,0,5,52,0.00018404094816603509,8
98,367,0,3,7,0.00016168117216142991,0
99,644,0,2,1,0.0016058364767632537,5
100,785,0,5,1,0.0002044937846451992,1
101,873,0,1,34,0.00015551722333072296,0
102,65,0,5,1,0.001326102380916301,1
103,902,0,1,1,0.0001528259379651267,0
104,317,0,3,1,0.001189284270219264,0
105,636,0,2,4,0.000160338222232648,0
106,666,0,6,28,0.0002544705743038905,1
107,789,0,3,8,0.0004066339211065575,3
108,958,0,4,12,0.00016975472287377507,1
109,214,0,4,1,0.001625321713666799,0
110,97,0,4,1,0.00227200556895793,2
111,583,0,5,2,0.00019841578129868798,1
112,466,0,7,1,0.0020922884698307918,1
113,523,0,2,6,0.0005333889286512419,0
114,255,0,6,2,0.00017787117656524682,0
115,385,0,1,10,0.00015191603319334395,0
116,545,0,4,1,0.00019016879490183747,4
117,382,0,4,1,0.0002857140876249086,1
118,489,0,2,1,0.000162348175714406,0
119,513,0,3,1,0.00044141784373011083,1
120,780,0,1,1,0.0010485037760935888,2
121,904,0,19,1,0.001603356041984662,3
122,122,0,3,1,0.0016783977356136512,0
123,946,0,1,16,0.0005870709916316576,0
124,60,0,2,16,0.00016047340960951645,1
125,844,0,8,1,0.0012658971576984066,2
126,372,0,4,1,0.0011860338595086153,0
127,283,0,2,2,0.00077382172246636,1
128,939,0,8,1,0.0017334337531713802,6
129,608,0,4,4,0.0019464213939736766,6
130,495,0,2,3,0.00015527710709848817,0
131,630,0,11,1,0.00035024012968832397,1
132,596,0,2,11,0.0006566062547294018,0
133,713,0,4,1,0.0019755745963336126,0
134,753,0,5,1,0.00044581033460142024,1
135,624,0,4,18,0.00017614673426510384,0
136,312,0,6,13,0.00017481587273385777,0
137,8,0,2,28,0.00015346448638833214,0
138,529,0,10,3,0.0002182119055961896,0
139,876,0,2,1,0.0014643837249056144,1
140,101,0,7,1,0.0012925586209241893,0
141,615,0,2,1,0.0018496359685365102,0
142,520,0,3,1,0.0018322393009642577,1
143,249,0,2,16,0.0008404294704886405,0
144,278,0,10,1,0.00021548546863884031,0
145,424,0,5,1,0.001125901020894554,0
146,384,0,8,8,0.0002682977133570899,14
147,395,0,3,10,0.0008932711929963981,2
148,54,0,1,1,0.0011298060501314002,2
149,34,0,4,1,0.0003742499453369032,2
150,271,0,2,26,0.00016876047538418268,1
151,30,0,11,1,0.0013089827136072377,1
152,403,0,11,1,0.0002843547022508695,2
153,757,0,4,4,0.0005663395819708434,0
154,975,0,5,1,0.00025510844297797286,3
155,990,0,6,70,0.00023485559313997747,3
156,457,0,6,10,0.0006121610434378302,4
157,362,0,5,1,0.002862144256426813,10
158,860,0,2,18,0.0003001966373662699,0
159,483,0,2,3,0.0001773969984574711,1
160,580,0,5,36,0.00023086377276469765,3
161,986,0,3,9,0.0003598105920895309,0
162,688,0,2,6,0.00015542587796993804,0
163,864,0,18,2,0.000272345494097012,1
164,927,0,3,1,0.001851215421976973,2
165,378,0,4,1,0.00017212286036583741,16
166,320,0,4,1,0.00016664739839336145,0
167,942,0,7,14,0.00031846063834746935,1
168,351,0,4,1,0.001047088287809985,1
169,418,0,5,1,0.0012658689984312132,51
170,945,0,4,1,0.0027168358101426772,5
171,795,0,9,1,0.0002107178912374792,2
172,145,0,5,1,0.0011935222775272436,0
173,826,0,2,1,0.0010933459752087496,1
174,492,0,4,11,0.00019699504288677632,4
175,751,0,7,1,0.002747640195290172,3
176,240,0,6,13,0.0001725851515660982,0
177,648,0,4,1,0.0011720161370470383,0
178,886,0,3,20,0.001179514865491252,16
179,144,0,4,1,0.0012538702419045413,3
180,767,0,4,10,0.00031234264006737634,1
181,999,0,5,1,0.0011278840929741995,11
182,467,0,2,1,0.00016774309573249147,0
183,315,0,14,71,0.00038899509918595215,1
184,989,0,6,1,0.0024665297504070675,2
185,922,0,1,1,0.00016366745098809582,0
186,717,0,9,2,0.0003614977237760871,3
187,458,0,2,2,0.00046872170678634084,0
188,773,0,5,1,0.001767840449954688,0
189,204,0,5,4,0.0008846440539602666,1
190,834,0,10,11,0.0003001355395738969,7
191,832,0,2,55,0.00017783829614215985,1
192,435,0,13,29,0.0002488893611715973,2
193,5,0,21,224,0.00042979899508644484,7
194,769,0,1,1,0.0019169358548621015,5
195,679,0,2,1,0.0011064207319780364,1
196,722,0,3,1,0.001103421482575621,0
197,215,0,1,1,0.0011034787807346215,0
198,653,0,6,1,0.0012947775453755852,0
199,150,0,13,1,0.0017796103402838513,2
200,687,0,4,1,0.0017523679475840133,37
201,500,0,4,33,0.000663121397053277,0
202,332,0,0,10,0.00015000000000000015,0
203,979,0,4,1,0.0018220825552308845,4
204,817,0,4,38,0.0002482682292080163,0
205,620,0,10,13,0.00023864869389605045,13
206,814,0,5,1,0.0013350130864095314,1
207,516,0,2,1,0.00016320514602401212,0
208,518,0,5,1,0.0017261845894641567,1
209,940,0,5,1,0.001574419272133806,3
210,113,0,4,18,0.0005678041957488548,3
211,612,0,4,34,0.00041438917237894687,0
212,37,0,3,17,0.0001991701900544234,0
213,894,0,9,22,0.00034772445873783965,0
214,895,0,3,1,0.0029054369448700615,3
215,992,0,5,14,0.00016761151157221094,0
216,158,0,3,1,0.0013708999497666192,1
217,154,0,5,1,0.0014255032467977292,2
218,40,0,3,2,0.00017332247488647105,0
219,585,0,4,16,0.000188370768366058,1
220,805,0,3,1,0.0024616403632321876,0
221,592,0,5,1,0.0011275882703258417,5
222,964,0,1,106,0.000561453128153636,0
223,266,0,2,1,0.00017108110376223945,0
224,406,0,1,57,0.00016439820214629784,0
225,294,0,3,1,0.001616501185206818,0
226,604,0,5,1,0.0032270479399634203,0
227,522,0,1,1,0.0014781353142628512,2
228,18,0,3,2,0.0007612718104200969,1
229,425,0,3,1,0.0017320197697303183,1
230,527,0,4,3,0.00040565977147576587,0
231,308,0,6,1,0.004291138953627381,9
232,622,0,4,48,0.00016437622939240407,0
233,794,0,5,9,0.00019190012289577217,2
234,62,0,4,1,0.002509821504276791,0
235,79,0,6,1,0.00023150579190768866,1
236,680,0,3,1,0.0016173165954135728,0
237,193,0,1,9,0.0005189867348998014,0
238,750,0,4,1,0.001140069536226847,0
239,181,0,8,12,0.00041035452642170173,1
240,535,0,4,1,0.0004955754935665744,0
241,484,0,4,30,0.00018783080900506568,1
242,200,0,6,110,0.0006182904801288325,2
243,364,0,3,1,0.00047294821687613044,3
244,991,0,9,1,0.0002269942676695565,1
245,462,0,5,12,0.00025465749436616675,2
246,356,0,12,1,0.00048406250278907936,8
247,2,0,1,1,0.00015058402252296596,0
248,478,0,2,9,0.0003504436416173684,0
249,695,0,10,79,0.00019531884904822551,1
250,253,0,6,1,0.00019470518428759244,1
251,667,0,3,1,0.001124333866820811,0
252,85,0,3,1,0.00035498435026501597,2
253,969,0,18,21,0.00032936136085676853,3
254,75,0,3,20,0.00023778777814205157,0
255,786,0,4,2,0.0005153462213328276,0
256,658,0,6,66,0.0015814066632546828,5
257,465,0,4,16,0.000174966703478659,1
258,920,0,1,14,0.00031035511660163975,0
259,38,0,4,1,0.0015591306235156976,0
260,944,0,3,1,0.0016325906572793832,11
261,725,0,8,14,0.00017271944402966037,1
262,436,0,1,4,0.00047191106996596416,1
263,140,0,4,1,0.0011847066827997156,1
264,818,0,1,1,0.00015466785393365698,0
265,602,0,4,2,0.000520070841670543,7
266,745,0,15,21,0.00024095477388987608,2
267,471,0,6,2,0.0001984932415210009,0
